id	minimum_pValue	call
FBgn0003090	0.05998771161402	absent
FBgn0003091	0.0672896913122654	absent
FBgn0003093	0.0133688744402329	absent
FBgn0003114	0.00293582190668323	present
FBgn0003116	0.000455232068522024	present
FBgn0003117	0.444337113751551	absent
FBgn0003118	0.152427485987447	absent
FBgn0003124	3.0506584962207e-08	present
FBgn0003129	0.0283008088856183	absent
FBgn0003130	0.606214381331789	absent
FBgn0003132	2.27012094764005e-08	present
FBgn0003134	5.21058156232932e-07	present
FBgn0003137	0.0140942184853183	absent
FBgn0003139	1.26233362307728e-05	present
FBgn0003140	9.82254515706408e-07	present
FBgn0003141	5.1201323644332e-06	present
FBgn0003145	3.2723807903951e-05	present
FBgn0003149	7.56186497876932e-07	present
FBgn0003159	5.50261151546172e-09	present
FBgn0003162	0.00245142945642976	present
FBgn0003165	0.00396796208039266	present
FBgn0003169	0.000812091139654812	present
FBgn0003174	0.00692917409593232	present
FBgn0003175	9.3909192830974e-05	present
FBgn0003187	2.24895361169225e-07	present
FBgn0003189	6.69944381965328e-05	present
FBgn0003204	0.0024574405606721	present
FBgn0003205	4.383834594968e-06	present
FBgn0003206	8.24187216099304e-07	present
FBgn0003209	0.000345102932359259	present
FBgn0003210	0.000133801330192058	present
FBgn0003218	2.3349532716218e-09	present
FBgn0003227	0.0342698448171041	absent
FBgn0003231	1.40667704759299e-09	present
FBgn0003248	0.370542731998376	absent
FBgn0003249	0.0350508838104068	absent
FBgn0003250	6.9533644410772e-06	present
FBgn0003254	3.71036743861852e-06	present
FBgn0003255	0.607749826373368	absent
FBgn0003256	1.20049076173523e-05	present
FBgn0003257	0.00314682236618258	present
FBgn0003261	5.35095592482212e-08	present
FBgn0003267	0.0794181456703244	absent
FBgn0003268	0.00931040825899464	present
FBgn0003270	NA	absent
FBgn0003274	2.4997829755434e-12	present
FBgn0003275	5.34270542025444e-15	present
FBgn0003277	0.000194052041096833	present
FBgn0003278	0.0195111272403063	absent
FBgn0003279	7.52561847670016e-10	present
FBgn0003285	0.608820666451171	absent
FBgn0003292	0.252419245614167	absent
FBgn0003295	0.133792176782986	absent
FBgn0003300	0.343229016933985	absent
FBgn0003301	0.00313555163155606	present
FBgn0003302	8.98092561094668e-09	present
FBgn0003308	0.0128929948742454	absent
FBgn0003310	2.77236428704806e-07	present
FBgn0003312	0.058528164823582	absent
FBgn0003313	0.218623631407424	absent
FBgn0003317	3.33331297961702e-06	present
FBgn0003319	0.555347394860788	absent
FBgn0003321	4.10118909445924e-07	present
FBgn0003326	0.532343704282668	absent
FBgn0003330	0.000115068471303712	present
FBgn0003334	1.56062905810751e-05	present
FBgn0003339	0.746054239244758	absent
FBgn0003345	7.98551750143348e-06	present
FBgn0003346	1.16811114356271e-09	present
FBgn0003353	0.00414205439194512	present
FBgn0003356	1.23109770910104e-10	present
FBgn0003357	1.374718250992e-12	present
FBgn0003358	1.65799078301628e-07	present
FBgn0003360	8.87293282921876e-10	present
FBgn0003366	0.00248489956796308	present
FBgn0003371	4.650490810203e-07	present
FBgn0003372	0.318569729048637	absent
FBgn0003373	0.000401974294406728	present
FBgn0003374	0.000370672363954832	present
FBgn0003375	6.15740795327742e-07	present
FBgn0003377	1.87533164628885e-07	present
FBgn0003378	0.00026721825654247	present
FBgn0003380	0.112928937767334	absent
FBgn0003382	0.0836403696457569	absent
FBgn0003386	0.0152286735427561	absent
FBgn0003388	0.00332175914890099	present
FBgn0003390	0.000451122670102158	present
FBgn0003391	2.47691092738866e-05	present
FBgn0003392	5.2374066156874e-07	present
FBgn0003396	0.000668793534196128	present
FBgn0003401	0.00188985495018737	present
FBgn0003410	6.0032239896292e-09	present
FBgn0003411	0.358121541136611	absent
FBgn0003415	0.00050966403707806	present
FBgn0003416	0.0119547443260668	absent
FBgn0003423	9.75851446473248e-07	present
FBgn0003429	0.207771673993168	absent
FBgn0003430	0.268523140383516	absent
FBgn0003435	2.9902720810189e-15	present
FBgn0003444	0.00509275794232018	present
FBgn0003447	0.000181417362741485	present
FBgn0003448	NA	absent
FBgn0003449	6.32783703874532e-11	present
FBgn0003450	0.0348967619949699	absent
FBgn0003459	0.000306998017178802	present
FBgn0003460	0.00167026168025844	present
FBgn0003462	4.9813378884454e-09	present
FBgn0003463	0.00562501836056992	present
FBgn0003464	0.00016006628870455	present
FBgn0003475	1.15641322427294e-12	present
FBgn0003479	0.000320200393706236	present
FBgn0003480	0.0241440992155549	absent
FBgn0003482	0.0280496788113496	absent
FBgn0003483	0.00366727034366081	present
FBgn0003486	0.15755347406977	absent
FBgn0003495	0.003288480609139	present
FBgn0003499	0.515571952255344	absent
FBgn0003502	0.000423614142286708	present
FBgn0003507	5.57185524539776e-06	present
FBgn0003510	0.025198738389307	absent
FBgn0003511	1.47331172506624e-05	present
FBgn0003512	6.623791891358e-07	present
FBgn0003513	0.57413003329991	absent
FBgn0003514	3.75548312068434e-12	present
FBgn0003515	0.00656332526935152	present
FBgn0003517	3.31633373016854e-12	present
FBgn0003520	0.000496275691684888	present
FBgn0003525	0.044828407622121	absent
FBgn0003527	2.48520158450199e-06	present
FBgn0003545	3.3651818944854e-07	present
FBgn0003557	3.40827402998343e-05	present
FBgn0003559	0.0033660337649628	present
FBgn0003567	2.01886510164845e-06	present
FBgn0003575	1.93226285614456e-05	present
FBgn0003598	2.34502610007525e-05	present
FBgn0003607	9.1527121167446e-11	present
FBgn0003612	1.73649476073027e-09	present
FBgn0003638	1.90300520346192e-07	present
FBgn0003651	0.00204535182928591	present
FBgn0003654	1.28769541150182e-09	present
FBgn0003655	0.048155132974563	absent
FBgn0003656	1.23368614061386e-10	present
FBgn0003660	9.38816762196796e-11	present
FBgn0003676	1.58649339654704e-06	present
FBgn0003683	NA	absent
FBgn0003687	0.0116309846593672	absent
FBgn0003701	0.00138839221889319	present
FBgn0003710	1.23037332331303e-09	present
FBgn0003714	1.07260620356254e-07	present
FBgn0003716	0.000370122992743443	present
FBgn0003719	0.493669009395688	absent
FBgn0003720	0.491302545820936	absent
FBgn0003721	8.50589964320816e-10	present
FBgn0003731	0.0216225763448904	absent
FBgn0003733	0.181545061105757	absent
FBgn0003741	0.000903253382748808	present
FBgn0003742	5.70664112807212e-11	present
FBgn0003744	1.65198123398982e-06	present
FBgn0003747	0.0701130212105932	absent
FBgn0003748	2.82370221916471e-10	present
FBgn0003751	0.0890968325129555	absent
FBgn0003861	0.0184944904746423	absent
FBgn0003862	0.00484145436067808	present
FBgn0003863	4.761057491509e-08	present
FBgn0003865	NA	absent
FBgn0003866	0.0593728227245768	absent
FBgn0003867	0.0296915034233957	absent
FBgn0003870	1.07545806600856e-05	present
FBgn0003882	0.000425680211920128	present
FBgn0003884	6.38172801785088e-18	present
FBgn0003885	7.3954689585656e-13	present
FBgn0003886	1.3610903010324e-09	present
FBgn0003888	8.09875501851564e-11	present
FBgn0003889	1.4992398279375e-17	present
FBgn0003890	0.000414654031405688	present
FBgn0003891	4.67187396146436e-05	present
FBgn0003892	0.0285974313163207	absent
FBgn0003896	0.0260842627281639	absent
FBgn0003900	1.14456733941712e-06	present
FBgn0003941	9.11137050734532e-15	present
FBgn0003942	7.71980311422976e-14	present
FBgn0003943	8.73400593256356e-20	present
FBgn0003944	0.211168496990089	absent
FBgn0003950	0.00060539441770832	present
FBgn0003961	9.40165886439616e-06	present
FBgn0003963	0.014328981779198	absent
FBgn0003964	9.11506563203424e-05	present
FBgn0003965	0.0152410191576998	absent
FBgn0003969	0.0023557220024538	present
FBgn0003975	0.694697638815462	absent
