id	minimum_pValue	call
FBgn0002856	2.62006984592598e-09	present
FBgn0002862	2.56746180532413e-19	present
FBgn0002863	1.70336289361363e-16	present
FBgn0002865	3.62089273741551e-15	present
FBgn0002868	1.16692829386462e-21	present
FBgn0002869	5.12851310991016e-07	present
FBgn0002872	0.000126318532595769	present
FBgn0002873	1.62641891112002e-07	present
FBgn0002878	0.00155492442079436	present
FBgn0002887	0.000261927280892572	present
FBgn0002891	0.00270723572636447	present
FBgn0002899	0.00160860795854871	present
FBgn0002901	7.84370746739811e-05	present
FBgn0002905	0.00130915052498636	present
FBgn0002906	5.8981242001257e-06	present
FBgn0002909	6.57183915633609e-05	present
FBgn0002914	1.62348940613608e-09	present
FBgn0002917	0.0476076197285769	absent
FBgn0002921	9.61495715439732e-09	present
FBgn0002922	0.514177155642776	absent
FBgn0002924	1.84412548130072e-07	present
FBgn0002926	0.34435494822003	absent
FBgn0002930	1.0840078227068e-05	present
FBgn0002931	2.8542601081052e-05	present
FBgn0002932	1.8301117553106e-06	present
FBgn0002933	NA	absent
FBgn0002936	0.00841223638019638	present
FBgn0002937	0.398502241900503	absent
FBgn0002938	0.0995773615912269	absent
FBgn0002939	0.000672296788092636	present
FBgn0002940	7.65313398639972e-08	present
FBgn0002941	NA	absent
FBgn0002945	0.182291956038172	absent
FBgn0002948	0.0579447561114303	absent
FBgn0002962	0.00222441181739898	present
FBgn0002973	3.5269214518848e-06	present
FBgn0002985	0.0674188333209135	absent
FBgn0002989	0.00142724011344748	present
FBgn0003002	0.776075275330367	absent
FBgn0003008	3.57592617006389e-06	present
FBgn0003009	4.79803678208127e-06	present
FBgn0003011	0.0802217194390916	absent
FBgn0003015	0.0778170278191278	absent
FBgn0003016	0.000369360117910586	present
FBgn0003023	0.0107148333837895	absent
FBgn0003028	0.302420348807278	absent
FBgn0003034	2.23136134906302e-15	present
FBgn0003041	0.00443191548586394	present
FBgn0003042	0.00124176974709428	present
FBgn0003044	2.59891856399482e-05	present
FBgn0003046	0.000166261708504103	present
FBgn0003048	0.000715487301610176	present
FBgn0003053	8.35746042250542e-05	present
FBgn0003057	NA	absent
FBgn0003060	0.00385011410219759	present
FBgn0003062	9.52009504296546e-07	present
FBgn0003065	0.00094533089459847	present
FBgn0003067	0.000309618073191565	present
FBgn0003068	0.0128702284973948	absent
FBgn0003071	5.50329233592114e-10	present
FBgn0003074	2.86284223502764e-11	present
FBgn0003076	3.58281702287454e-06	present
FBgn0003079	0.00127970176399958	present
FBgn0003082	0.000446022364015712	present
FBgn0003086	0.0211833199795512	absent
FBgn0003087	5.81640284344986e-08	present
FBgn0003089	0.0165255102428435	absent
FBgn0003090	0.08998156742103	absent
FBgn0003091	0.0841121141403318	absent
FBgn0003093	0.00825385928830434	present
FBgn0003114	0.00489303651113872	present
FBgn0003116	0.000110299129510515	present
FBgn0003117	0.592449485002068	absent
FBgn0003118	0.138456736158316	absent
FBgn0003124	7.22842576848354e-09	present
FBgn0003129	0.0424512133284274	absent
FBgn0003130	0.606214381331789	absent
FBgn0003132	3.97695760217037e-09	present
FBgn0003134	7.81587234349398e-07	present
FBgn0003137	0.0211413277279775	absent
FBgn0003139	1.89350043461592e-05	present
FBgn0003140	5.06252935763847e-08	present
FBgn0003141	7.6801985466498e-06	present
FBgn0003145	4.90857118559264e-05	present
FBgn0003149	1.1342797468154e-06	present
FBgn0003159	8.25391727319258e-09	present
FBgn0003162	0.00367714418464463	present
FBgn0003165	0.00298184832319408	present
FBgn0003169	0.000346868687151011	present
FBgn0003174	0.0103937611438985	absent
FBgn0003175	0.000140863789246461	present
FBgn0003187	5.58214271583201e-09	present
FBgn0003189	0.000100491657294799	present
FBgn0003204	0.00221493708778805	present
FBgn0003205	6.575751892452e-06	present
FBgn0003206	1.23628082414896e-06	present
FBgn0003209	0.000517654398538889	present
FBgn0003210	9.0002910390652e-05	present
FBgn0003218	3.50242990743271e-09	present
FBgn0003227	0.0199897561714369	absent
FBgn0003231	2.11001557138948e-09	present
FBgn0003248	0.125410003936514	absent
FBgn0003249	0.0525763257156103	absent
FBgn0003250	1.04300466616158e-05	present
FBgn0003254	5.56555115792777e-06	present
FBgn0003255	0.455812369780026	absent
FBgn0003256	1.80073614260284e-05	present
FBgn0003257	0.00445744465250811	present
FBgn0003261	8.02643388723318e-08	present
FBgn0003267	0.0632552793619467	absent
FBgn0003268	0.00173955491599088	present
FBgn0003270	NA	absent
FBgn0003274	2.98230827169758e-12	present
FBgn0003275	8.01405813038166e-15	present
FBgn0003277	0.000291078061645249	present
FBgn0003278	0.0110934993372262	absent
FBgn0003279	1.12884277150502e-09	present
FBgn0003285	0.608820666451171	absent
FBgn0003292	0.212726328786469	absent
FBgn0003295	0.267584353565972	absent
FBgn0003300	0.660779691934297	absent
FBgn0003301	0.0047033274473341	present
FBgn0003302	1.347138841642e-08	present
FBgn0003308	0.0149121210019503	absent
FBgn0003310	4.1585464305721e-07	present
FBgn0003312	0.0328081611741404	absent
FBgn0003313	0.0588668384080885	absent
FBgn0003317	4.99996946942552e-06	present
FBgn0003319	0.555347394860788	absent
FBgn0003321	2.05059454722962e-07	present
FBgn0003326	0.709791605710224	absent
FBgn0003330	0.000159001548633671	present
FBgn0003334	2.34094358716127e-05	present
FBgn0003339	0.746054239244758	absent
FBgn0003345	1.19782762521502e-05	present
FBgn0003346	1.75216671534407e-09	present
FBgn0003353	0.00142094835043843	present
FBgn0003356	1.23109770910104e-10	present
FBgn0003357	1.71839781374e-12	present
FBgn0003358	2.07248847877036e-07	present
FBgn0003360	1.33093992438281e-09	present
FBgn0003366	0.00372734935194462	present
FBgn0003371	1.2575318407508e-07	present
FBgn0003372	0.530949548414395	absent
FBgn0003373	0.000401974294406728	present
FBgn0003374	0.000370672363954832	present
FBgn0003375	6.15740795327742e-07	present
FBgn0003377	2.5004421950518e-07	present
FBgn0003378	0.000400827384813705	present
FBgn0003380	0.112928937767334	absent
FBgn0003382	0.139400616076262	absent
FBgn0003386	0.000736338945618777	present
FBgn0003388	0.000414340403001576	present
FBgn0003390	0.000676684005153237	present
FBgn0003391	3.71536639108298e-05	present
FBgn0003392	5.85595033602711e-08	present
FBgn0003396	0.000398073388541254	present
FBgn0003401	0.00141739121264053	present
