id	minimum_pValue	call
FBgn0000442	0.330112862035039	absent
FBgn0000447	2.11470997418069e-10	present
FBgn0000448	0.00552416183727226	present
FBgn0000449	0.269093868542338	absent
FBgn0000451	0.0600320706296396	absent
FBgn0000454	2.1923184002136e-07	present
FBgn0000455	5.2754658396549e-06	present
FBgn0000459	0.0135651508208765	absent
FBgn0000463	0.00475299647437593	present
FBgn0000464	0.00142845161662053	present
FBgn0000473	0.591172978462895	absent
FBgn0000477	0.105307629955526	absent
FBgn0000479	0.0079607207314584	present
FBgn0000482	0.00195453121071151	present
FBgn0000489	1.88547711629322e-09	present
FBgn0000490	0.0012809100813011	present
FBgn0000492	0.639589934903858	absent
FBgn0000499	1.28113336094673e-07	present
FBgn0000500	0.0328987235320087	absent
FBgn0000504	0.0159975051685493	absent
FBgn0000520	0.00464349826066332	present
FBgn0000524	0.00344104340817919	present
FBgn0000527	0.0876926920733643	absent
FBgn0000529	NA	absent
FBgn0000533	0.0331362464918026	absent
FBgn0000535	0.920605635290911	absent
FBgn0000536	1.09990071105354e-06	present
FBgn0000541	1.68462844540149e-06	present
FBgn0000542	0.0567144265787695	absent
FBgn0000543	5.16820860117209e-05	present
FBgn0000546	0.0720191984973924	absent
FBgn0000547	0.00444695137098682	present
FBgn0000551	0.034793508902797	absent
FBgn0000552	NA	absent
FBgn0000557	0.000559916650776101	present
FBgn0000559	3.57718189772818e-10	present
FBgn0000560	0.000197536828345209	present
FBgn0000562	0.00623506119156642	present
FBgn0000564	NA	absent
FBgn0000565	0.000668661372353835	present
FBgn0000566	2.33902078522579e-05	present
FBgn0000567	0.0382267175558623	absent
FBgn0000568	0.00908214266565335	present
FBgn0000575	0.000582219569677434	present
FBgn0000576	0.208089494892067	absent
FBgn0000577	0.0217558056709957	absent
FBgn0000578	0.000477064544409712	present
FBgn0000579	3.1522387336706e-10	present
FBgn0000581	3.12361118188517e-05	present
FBgn0000588	0.00161828095165737	present
FBgn0000591	0.29875615194283	absent
FBgn0000592	0.00012747445714597	present
FBgn0000594	0.0459965661622944	absent
FBgn0000606	0.0153165078621466	absent
FBgn0000611	3.91710082139598e-05	present
FBgn0000615	2.25085401200862e-15	present
FBgn0000617	0.000130425947112978	present
FBgn0000618	5.78083808034431e-05	present
FBgn0000625	0.239934473884604	absent
FBgn0000629	0.000354101291982716	present
FBgn0000633	0.504469740761104	absent
FBgn0000635	0.000383125658483708	present
FBgn0000636	8.46639080517288e-05	present
FBgn0000639	NA	absent
FBgn0000640	0.0155109032799555	absent
FBgn0000644	0.076518258317208	absent
FBgn0000658	0.58808036471407	absent
FBgn0000659	0.765232021813131	absent
FBgn0000662	0.000325616422353953	present
FBgn0000667	0.00351724275965463	present
FBgn0000709	0.00132947857715452	present
FBgn0000711	0.000554444288055611	present
FBgn0000715	0.100349164280491	absent
FBgn0000719	0.0186776177368796	absent
FBgn0000721	0.0012698235331881	present
FBgn0000723	0.000551837067001699	present
FBgn0000808	0.0561879958255739	absent
FBgn0000810	0.000137292968299481	present
FBgn0000826	0.00440407320383592	present
FBgn0000927	0.151488855148704	absent
FBgn0000928	0.000904793990594827	present
FBgn0000964	0.00581417004025285	present
FBgn0000996	0.000315922800321352	present
FBgn0001075	0.117169832759004	absent
